Publicado	Nivel	Departamento	Escuela	Zona	Cargo	Horas	Turno	Materia	Llamado	Domicilio Escuela	Articulo	Curso	Horario	Presentarse en	Prioridad	Condiciones	Observaciones	Movilidad	Impresión llamado	Estado	Motivo de Cancelación	
02/06/23 12:35	Primario	LUJÁN DE CUYO	1517 - LUIS A. CONTRERAS	110%	HORAS CATEDRA COMUNES	6	Mañana	Educación Artística: Música	1er: 05/06/23 10:00	FINCA VIÑAS DE AMERICA S/N . EL CARRIZAL	40-0		SE PUEDE ORGANIZAR LOS HORARIOS.	PRESENTARSE EN LA ESCUELA				SIN MOVILIDAD		Publicado		
02/06/23 12:35	Secundario Orientado	LAVALLE	4224 - DR. TOMÁS LUIS APPUGLIESE	80%	HORAS CATEDRA MEDIA ORIENTADA	4	Mañana	Lenguaje Artístico Complementario - Audiovisual	7mo: 05/06/23 10:00	Dorrego s/Nª B° Solares del Norte . VILLA TULUMAYA (CIUDAD)	40-0	5° 1	Mi 11:40-12:20,Mi 12:20-13:00,Ju 10:50-11:30,Ju 11:40-12:20	Presentarse en GEM PAD - Llamado Virtual			LA ESCUELA SE ENCUENTRA A 1.5 KM DE LA TERMINAL DE LAVALLE	PRESTACIONES		Publicado		
02/06/23 12:35	Secundario Orientado	TUNUYÁN	4247 - ALFREDO VICENTE	110%	HORAS CATEDRA MEDIA ORIENTADA	4	Mañana	Lógica y Epistemología	1er: 05/06/23 08:00	CALLE PÚBLICA S/N . CAMPO DE LOS ANDES	40-0	4° 1°	Mi 07:40-08:20,Mi 08:20-09:00,Vi 07:40-08:20,Vi 08:20-09:00	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 12:34	Secundario Orientado	CAPITAL	"4238 - ""PROFESORA SILVIA CATALLINI"""	80%	HORAS CATEDRA MEDIA ORIENTADA	3	Mañana	Educación Tecnológica	2do: 05/06/23 09:00	AV. CIRCUNVALACION ARQ. CARLOS THAYS S/N . CIUDAD	40-0	2° PRIMERA	Ju 08:00-08:40,Ju 08:40-09:20,Ju 09:20-10:00	Presentarse en GEM PAD - Llamado Virtual				con movilidad		Publicado		
02/06/23 12:34	Inicial	SAN MARTÍN	1331/1 - VICENTE FIDEL LÓPEZ	110%	HORAS CATEDRA COMUNES	5			1er: 05/06/23 10:00 | 2do: 05/06/23 10:15 | 3er: 05/06/23 10:30 | 4to: 05/06/23 10:45	SANTAMARINA S/N . NUEVA CALIFORNIA	Cargo vacante			en el estableciento	docente con psicofísico domiciliarios y hospitalarios. turno mañana o tarde a convenir.			Nueva Generación		Publicado		
02/06/23 12:34	Secundario Técnico	LAVALLE	4160 - TITO FRANCIA	110%	HORAS CATEDRA MEDIA TÉCNICA	3	Mañana	Lengua Extranjera	2do: 05/06/23 10:45	RUTA 40 km 3338 . LAVALLE	61	1° PRIMERA	Ma 10:10-10:50,Ju 08:00-08:40,Ju 08:40-09:20	Presentarse en GEM PAD - Llamado Virtual		presentar documentación vigente. Resol. 609/22, cert. Aptitud Psicofísica, DDJJ	LENGUA EXTRANJERA: INGLÉS	300 PRESTACIONES (VER HORARIOS EN APP)		Publicado		
02/06/23 12:32 | Cancelado	Secundario Técnico	LAVALLE	4160 - TITO FRANCIA	110%	HORAS CATEDRA MEDIA TÉCNICA	3	Mañana	Lengua Extranjera	2do: 05/06/23 11:00	RUTA 40 km 3338 . LAVALLE	61	1° PRIMERA	Ma 10:10-10:50,Ju 08:00-08:40,Ju 08:40-09:20	Presentarse en GEM PAD - Llamado Virtual		presentar documentación vigente. Resol. 609/22, cert. Aptitud Psicofísica, DDJJ	LENGUA EXTRANJERA: INGLÉS	300 PRESTACIONES (VER HORARIOS EN APP)		Cancelado	no cubierto	
02/06/23 12:28	Secundario Orientado	SAN RAFAEL	4057 - MARGARITA CINCA DE GEARY	40%	HORAS CATEDRA MEDIA ORIENTADA	6	Tarde	Ciencias Sociales: Geografía	1er: 05/06/23 13:30	Falucho 1725 B° UNIMEV . SAN RAFAEL CIUDAD	40-0	1° 2°	Ma 15:00-15:40,Ma 15:40-16:20,Ma 16:30-17:10,Vi 15:00-15:40,Vi 15:40-16:20,Vi 16:30-17:10	Presentarse en GEM PAD - Llamado Virtual		El presente llamado virtual se realiza de acuerdo a la Normativa vigente Res 47/03, Ley 6929 y Res 29 y 172 - DGE -17.	Toma de Posesión 06/06/23	Iselin		Publicado		
02/06/23 12:24	Secundario Orientado	MALARGÜE	"4200 - ""ALBERTO D. ERASO"" - Ranquil (8200)"	110%	HORA CATEDRA MENSUAL-ALBERGUE	3	Alternado	Comunicación	4vo: 03/06/23 14:00	RUTA 40 Km 2763 . RANQUIL	40-0	5° 1	Lu 17:00-18:20,Ju 14:00-15:20,Do 15:30-16:50	Presentarse en GEM PAD - Llamado Virtual	Documentación Vigente	Alta presentación efectiva en el establecimiento		No Coincidente		Publicado		
02/06/23 12:18	Secundario Orientado	MAIPÚ	4189 - ÁLAMOS MENDOCINOS	110%	HORAS CATEDRA MEDIA ORIENTADA	6	Tarde	Ciencias Sociales: Historia-Formación Ética y Ciudadana	3er: 05/06/23 09:00	RUTA 20 Y SAN MARTÍN S/N . FRAY LUIS BELTRÁN	40-0	2° 3ª	Lu 15:20-15:55,Lu 16:05-16:45,Ju 13:15-13:55,Ju 13:55-14:30,Vi 13:15-13:55,Vi 13:55-14:30	Presentarse en GEM PAD - Llamado Virtual		POSESIÓN INMEDIATA		SIN TRANSPORTE		Publicado		
02/06/23 12:16	CEBJA	LAS HERAS	3108 - PAULO FREIRE	60%	HORAS CATEDRA ADULTOS	5	Tarde	Matemática	2do: 05/06/23 12:00	Rodolfo Walsh y Adolfo Bioy Casares 2000 B° Barrio Infanta . EL CHALLAO	52-0	1° CBNS 4	Ma 15:10-15:50,Ma 15:50-16:30,Mi 13:00-13:40,Mi 13:40-14:20,Mi 14:30-15:10	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 12:16	Primario	LAS HERAS	1499 - TTE. DE AV. MANUEL FÉLIX ORIGONE	60%	HORAS CATEDRA COMUNES	10	Tarde		1er: 05/06/23 13:00	SGTO. CABRAL 2359 . LAS HERAS	44-0	4°, 5°,6° T. T	Lu 12:30-14:30,Ma 12:30-14:30,Mi 12:30-14:30,Ju 12:30-14:30,Vi 12:30-14:30	Presentarse en la escuela		Hasta agotar instancias	Presentarse con documentación vigente y fotocopias de la misma. Toma de posesión inmediata	Metrotranvía - 630 - 670 - 330 - 331		Publicado		
02/06/23 12:15	Primario	LUJÁN DE CUYO	1517 - LUIS A. CONTRERAS	110%	HORAS CATEDRA COMUNES	2	Mañana	Lengua Extranjera - Inglés	1er: 05/06/23 12:00	FINCA VIÑAS DE AMERICA KM 48 . CARRIZAL DE ABAJO	Horas vacantes	7° Único		LA ESCUELA		PRIMER LLAMADO Y HASTA AGOTAR INSTANCIAS.		SIN MOVILIDAD		Publicado		
02/06/23 12:15	Primario	LUJÁN DE CUYO	1517 - LUIS A. CONTRERAS	110%	HORAS CATEDRA COMUNES	6	Mañana	Auxiliar de informática Educativa	1er: 05/06/23 11:00	FINCA VIÑAS DE AMERICA KM 48 . CARRIZAL DE ABAJO	horas vacantes			LA ESCUELA			HASTA AGOTAR INSTANCIAS.	SIN MOVILIDAD		Publicado		
02/06/23 12:14	Primario	TUNUYÁN	1061 - CORONEL PEDRO JOSÉ DIAZ	80%	MAESTRO ENSEÑANZA COMUN		Mañana		1er: 05/06/23 10:05	JOSÉ NESTOR LENCINAS S/N . VISTA FLORES	44-0	6° C	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	Presencial		Con documentación Correspondientes	Hasta Agotar Instancia, posesión inmediata	CATA		Publicado		
02/06/23 12:14	Secundario Orientado	LAVALLE	4041 - ALICIA M. DE JUSTO	80%	HORAS CATEDRA MEDIA ORIENTADA	5	Tarde	Sistema de Información Contable II	3er: 05/06/23 09:00	RUTA 34 Y CENTENARIO . VILLA TULUMAYA (CIUDAD)	40-0	4° 2	Ma 16:20-17:00,Ma 17:10-17:50,Ma 17:50-18:30,Ju 15:40-16:20,Ju 16:20-17:00	Presentarse en GEM PAD - Llamado Virtual				300		Publicado		
02/06/23 12:13	Secundario Orientado	TUPUNGATO	4060 - DR. ERNESTO PIAGGI	80%	HORAS CATEDRA MEDIA ORIENTADA	3	Tarde	Formación para la Vida y el Trabajo	4vo: 05/06/23 10:10	PASAJE ESPAÑA S/N B° LOS NOGALES . TUPUNGATO	Cargo vacante	5° 2°	Lu 17:05-17:45,Lu 17:45-18:25,Ma 14:55-15:35	Presentarse en GEM PAD - Llamado Virtual		Área 04 Código 371	Alta con toma Presencial y Efectiva Presentación del Servicio.	Cata y Mitre		Publicado		
02/06/23 12:12	Primario	MALARGÜE	8705 - ESCUELA N° 8-705	110%	MAESTRO DE GRADO ALBERGUE		Completo		1er: 05/06/23 14:30	PARAJE EL CARAPACHO . LA ESCONDIDA	40-0	Preceptora diurna	Lu 16:00-23:00,Ma 16:00-23:00,Mi 16:00-23:00,Ju 16:00-23:00,Vi 16:00-23:00,Sá 16:00-23:00,Do 16:00-23:00	Presentarse en escuela 8-705 Paraje Carapacho.Ruta 186	Bono de puntaje hasta agotar instancias y carpeta de antecedentes.	Psicofisico de albergue.	En un todo a la reglamentación vigente.	sin movilidad		Publicado		
02/06/23 12:11	Primario	MAIPÚ	"1743 - ""FELIPE PESCARA"""	80%	MAESTRO ENSEÑANZA COMUN		Tarde		1er: 05/06/23 13:30	SAN MARTÍN S/N . COLONIA BOMBAL . RODEO DEL MEDIO	Cargo vacante	1° B	Lu 13:30-18:00,Ma 13:30-18:00,Mi 13:30-18:00,Ju 13:30-18:00,Vi 13:30-18:00	Edificio escolar			Hasta agotar instancias.	Lines 250, 251 y 261		Publicado		
02/06/23 12:10	Primario	LAVALLE	1276 - DR. CARLOS CHAGAS	110%	MAESTRO ENSEÑANZA COMUN		Mañana		1er: 05/06/23 12:00	9 DE JULIO s/n . LA PALMERA	61 - MAYOR JERARQUÍA	5° U	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	edificio escolar		HASTA AGOTAR INSTANCIA	CARGO CON ART. 48 CUYO TITULAR SE ENCUENTRA EN ART. 61	sin transporte		Publicado		
02/06/23 12:07	Secundario Técnico	SAN RAFAEL	4043 - ANTONIO DI BENEDETTO	110%	HORAS CATEDRA MEDIA TÉCNICA	7	Tarde	Lengua	3er: 05/06/23 11:00	CORONEL CAMPOS S/N . RAMA CAIDA	40	2° 2	Lu 15:20-16:00,Lu 16:10-16:50,Mi 16:10-16:50,Mi 16:50-17:30,Vi 15:20-16:00,Vi 16:10-16:50,Vi 16:50-17:30	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 12:05	CEBJA	LUJÁN DE CUYO	3215 - CLAUDIA LOURDES ORONÁ	100%	MAESTRO DE GRADO ESC.DIFERENCIADA		Tarde		6to: 05/06/23 11:00	Ruta Nac.N°7 Intersec. Ruta Prov.N°84 Km 1069 . CACHEUTA	40-0	Grado Múltiple A	Lu 14:00-15:00,Lu 15:00-16:00,Lu 16:00-17:00,Ma 14:00-15:00,Ma 15:00-16:00,Ma 16:00-17:00,Mi 14:00-15:00,Mi 15:00-16:00,Mi 16:00-17:00,Ju 14:00-15:00,Ju 15:00-16:00,Ju 16:00-17:00,Vi 14:00-17:00	Presentarse en dge3215@mendoza.edu.ar, enviar documentación reglamentaria en un solo archivo pdf		Adjuntar a la Documentación Reglamentaria Psicofísico Docente. Psicofísico Complementario de Contexto de Encierro. Certificado de Antecedentes Penales vigente. Uso de Guardapolvo Blanco Obligatorio y tener conoc.de la Resol-2023-01-GDEMZA-DEPJA-DGE. Coordinación de Contexto de Privación de Libertad		Andesmar		Publicado		
02/06/23 12:05	Secundario Orientado	SAN MARTÍN	4134 - MARÍA RAQUEL BUTERA	40%	HORAS CATEDRA MEDIA ORIENTADA	3	Tarde	Prácticas Artísticas	10mo: 06/06/23 15:00	SAN LORENZO 134 . SAN MARTÍN	40-0	3° 1°	Mi 13:30-14:10,Mi 14:10-14:50,Mi 15:00-15:40	Presentarse en GEM PAD - Llamado Virtual	MÚSICA	ES MÚSICA		LÍNEAS 700 Y 750		Publicado		
02/06/23 12:04	Primario	LAS HERAS	1499 - TTE. DE AV. MANUEL FÉLIX ORIGONE	60%	HORAS CATEDRA COMUNES	10	Mañana		1er: 05/06/23 13:00	SGTO. CABRAL 2359 . LAS HERAS	Cargo vacante	5°, 6°, 7° T. T	Lu 11:30-13:30,Ma 11:30-13:30,Mi 11:30-13:30,Ju 11:30-13:30,Vi 11:30-13:30	Presentarse en la escuela		Hasta agotar instancias	Presentarse con documentación vigente y fotocopias de la misma.	Metrotranvía - 630 - 670 - 330 - 331		Publicado		
02/06/23 12:02	Primario	LUJÁN DE CUYO	1155 - ING. JUAN B. MARCHIONATTO	40%	HORAS CATEDRA COMUNES	10	Tarde		3er: 05/06/23 12:05	ALMIRANTE BROWN 2079 . CHACRAS DE CORIA	Cargo vacante	Fortalecimiento de las Trayectorias 4º,5º,6º,7º.	Lu 12:30-14:30,Ma 12:30-14:30,Mi 12:30-14:30,Ju 12:30-14:30,Vi 12:30-14:30	Escuela Marchionatto			Hasta agotar instancias			Publicado		
02/06/23 12:01	Secundario Técnico	GUAYMALLÉN	4118 - SAN JOSE	10%	HORAS CATEDRA MEDIA TÉCNICA	7	Mañana	Lengua	3er: 05/06/23 10:00	URUGUAY 670 . SAN JOSÉ	40-0	2° 09º	Lu 09:50-10:30,Lu 10:40-11:20,Lu 11:20-12:00,Ma 07:45-08:25,Ma 08:25-09:05,Ju 07:45-08:25,Ju 08:25-09:05	Presentarse en GEM PAD - Llamado Virtual		PRESENTAR DOCUMENTACIÒN REGLAMENTARIA		GRUPO 500, 200, 300, 120		Publicado		
02/06/23 12:00	Primario	GUAYMALLÉN	1148 - PROVINCIA DE SALTA	60%	HORAS CATEDRA COMUNES	10	Mañana		1er: 05/06/23 10:55	ROPPOLO 6826 B° Las Viñas . BUENA NUEVA	Cargo vacante	Fortalecimiento de las Trayectorias 3		Presentarse en la Escuela		HASTA AGOTAR INSTANCIAS		554 548 204 203		Publicado		
02/06/23 11:57	Primario	LUJÁN DE CUYO	1157 - JUAN BAUTISTA AZOPARDO	100%	MAESTRO ENSEÑANZA COMUN		Mañana		3er: 06/06/23 10:00	COBOS Y FUNES S/N . AGRELO	44-0	4° A	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	PRESENCIAL en la institución			- HASTA AGOTAR INSTANCIAS- POSESIÓN INMEDIATA	Linea CATA766-713-714		Publicado		
02/06/23 11:51	Primario	GUAYMALLÉN	1556 - MIGUEL ANGEL RAMPONI	80%	MAESTRO ENSEÑANZA COMUN		Mañana		1er: 05/06/23 10:00	COLÓN Y CATAMARCA 2273 . GENERAL BELGRANO	40	4° B	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	Escuela			Hasta agotar instancias	520-522-523-524-525-544-545-552		Publicado		
02/06/23 11:48	Primario	MAIPÚ	1049 - JUANA S. DE PERALTA	80%	HORAS CATEDRA COMUNES	10	Mañana		9no: 05/06/23 11:00	PERITO MORENO S/N . RODEO DEL MEDIO	Cargo vacante	Fortalecimiento de las Trayectorias Innov. Pedagóg	Lu 11:15-13:15,Ma 11:15-13:15,Mi 11:15-13:15,Ju 11:15-13:15,Vi 11:15-13:15	En la institucion				Gru750 y 10 Mendotran,854,855,921,970		Publicado		
02/06/23 11:48	Secundario Orientado	LUJÁN DE CUYO	4091 - MARTÍN GÜEMES	10%	HORAS CATEDRA MEDIA ORIENTADA	3	Mañana	Culturas Juveniles	1er: 05/06/23 10:30	VIEDMA 524 B° II 13 DE DICIEMBRE . LUJÁN	Res. 1093/11	3° 5° Secundario	Ma 10:00-10:40,Ju 11:30-12:10,Ju 12:10-12:50	Presentarse en GEM PAD - Llamado Virtual				700		Publicado		
02/06/23 11:45	Secundario Orientado	RIVADAVIA	4094 - FÉLIX PESCE SCARSO	80%	HORAS CATEDRA MEDIA ORIENTADA	6	Mañana	Lengua	3er: 05/06/23 12:00	AMERICO ABRAHAM S/N° B° Bº FORMOSA . RIVADAVIA	61-0	1° 3	Lu 11:30-12:10,Lu 12:10-12:50,Ju 07:50-08:30,Vi 10:50-11:30,Vi 11:30-12:10,Vi 12:10-12:50	Presentarse en GEM PAD - Llamado Virtual				700 - 750		Publicado		
02/06/23 11:43	Secundario Orientado	LAVALLE	4183 - FIDEL DE LUCIA	80%	HORAS CATEDRA MEDIA ORIENTADA	3	Tarde	Educación Física	1er: 06/06/23 14:00	SAN ESTEBAN S/N° B° entre Montenegro y Ruta 40. km 3320 . JOCOLÍ VIEJO	art. 61	1° 1	Mi 13:45-15:45	Presentarse en GEM PAD - Llamado Virtual		Certificado de Aptitud APTO específico vigente - DNI ambas caras - Certificado de antecedentes penales vigente (3 meses).	Presentarse el primer día de clase posterior al llamado, con documentación requerida (CUIL, DNI, DJ, Psicofìsico, Certificado de Antecedentes, etc.)	Consutar Prestaciones (300 por Ruta 40)		Publicado		
02/06/23 11:43	Secundario Orientado	LAVALLE	4183 - FIDEL DE LUCIA	80%	HORAS CATEDRA MEDIA ORIENTADA	2	MAÑANA	Educación Artística (B) Música	1er: 09/06/23 14:00	SAN ESTEBAN S/N° B° entre Montenegro y Ruta 40. km 3320 . JOCOLÍ VIEJO	ART. 61	2° 1	Lu 08:00-08:40,Lu 08:40-09:20	Presentarse en GEM PAD - Llamado Virtual		Certificado de Aptitud APTO específico vigente - DNI ambas caras - Certificado de antecedentes penales vigente (3 meses).	Presentarse el primer día de clase posterior al llamado, con documentación requerida (CUIL, DNI, DJ, Psicofìsico, Certificado de Antecedentes, etc.)	Consutar Prestaciones (300 por Ruta 40)		Publicado		
02/06/23 11:42	CENS	LAVALLE	A499 - NÚCLEO - GUSTAVO ANDRÉ	110%	HORAS CATEDRA C.E.N.S.	4	Nocturno	Trabajo y Sociedad aplicado a la Economía y Administración II	1er: 05/06/23 20:00	Las Cortaderas S/N . GUSTAVO ANDRE	40-0	3º PRIMERA	Mi 19:00-19:40,Vi 19:00-19:40,Vi 19:40-20:20,Vi 20:20-21:00	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 11:42	Secundario Orientado	LAVALLE	4183 - FIDEL DE LUCIA	80%	HORAS CATEDRA MEDIA ORIENTADA	3	MAÑANA	Lengua Extranjera - Inglés	1er: 09/06/23 14:15	SAN ESTEBAN S/N° B° entre Montenegro y Ruta 40. km 3320 . JOCOLÍ VIEJO	ART. 61	5° 1	Lu 10:50-11:30,Lu 11:40-12:20,Lu 12:20-13:00	Presentarse en GEM PAD - Llamado Virtual		Certificado de Aptitud APTO específico vigente - DNI ambas caras - Certificado de antecedentes penales vigente (3 meses).	Presentarse el primer día de clase posterior al llamado, con documentación requerida (CUIL, DNI, DJ, Psicofìsico, Certificado de Antecedentes, etc.)	Consutar Prestaciones (300 por Ruta 40)		Publicado		
02/06/23 11:42	Secundario Orientado	LAVALLE	4183 - FIDEL DE LUCIA	80%	HORAS CATEDRA MEDIA ORIENTADA	2	Tarde	Comunicación Social	1er: 08/06/23 14:00	SAN ESTEBAN S/N° B° entre Montenegro y Ruta 40. km 3320 . JOCOLÍ VIEJO	ART. 61	2° 2	Lu 13:30-14:10,Lu 14:10-14:50	Presentarse en GEM PAD - Llamado Virtual		Certificado de Aptitud APTO específico vigente - DNI ambas caras - Certificado de antecedentes penales vigente (3 meses).	Presentarse el primer día de clase posterior al llamado, con documentación requerida (CUIL, DNI, DJ, Psicofìsico, Certificado de Antecedentes, etc.)	Consutar Prestaciones (300 por Ruta 40)		Publicado		
02/06/23 11:41	Secundario Orientado	LUJÁN DE CUYO	4151 - DR. BENITO MARÍANETTI	60%	HORAS CATEDRA MEDIA ORIENTADA	4	Mañana	Ciencias Naturales	1er: 05/06/23 09:00	CONGRESO DE TUCUMÁN Y ONCATIVO S/N . MAYOR DRUMMOND	40-0	1° 4	Mi 09:30-10:10,Mi 10:10-10:50,Ju 11:40-12:20,Ju 12:20-13:00	Presentarse en GEM PAD - Llamado Virtual						Publicado		
02/06/23 11:40	Secundario Técnico	GRAL. ALVEAR	4105 - ESCUELA TECNICA BACHILLER ( 8105)	80%	HORA CATEDRA MENSUAL-ALBERGUE	6	Mañana	Instalaciones y Proyectos Industriales	3er: 06/06/23 08:00	PROLONGACION ARTAZA E ISLAS MALVINAS S/N . BOWEN	Cargo vacante	6° U	Mi 10:30-11:10,Mi 11:10-11:50,Mi 11:50-12:30,Vi 13:30-15:40	Presentarse en GEM PAD - Llamado Virtual		Contar con Certificado de Aptitud Psicofísico Docente y Psicofísico Complementario de Escuela Albergue	Adjuntar Documentación Legible en Formato P.D.F. (Originales)			Publicado		
02/06/23 11:40	Secundario Orientado	LAVALLE	4183 - FIDEL DE LUCIA	80%	HORAS CATEDRA MEDIA ORIENTADA	6	Mañana	Matemática	1er: 05/06/23 14:00	SAN ESTEBAN S/N° B° entre Montenegro y Ruta 40. km 3320 . JOCOLÍ VIEJO	cargo vacante	1° 1	Ma 10:10-10:50,Mi 10:50-11:30,Mi 11:40-12:20,Mi 12:20-13:00,Ju 08:00-08:40,Ju 08:40-09:20	Presentarse en GEM PAD - Llamado Virtual		Certificado de Aptitud APTO específico vigente - DNI ambas caras - Certificado de antecedentes penales vigente (3 meses).	Presentarse el primer día de clase posterior al llamado, con documentación requerida (CUIL, DNI, DJ, Psicofìsico, Certificado de Antecedentes, etc.)	Consutar Prestaciones (300 por Ruta 40)		Publicado		
02/06/23 11:40	Secundario Orientado	GUAYMALLÉN	4078 - PROF. TOMÁS SILVESTRE	60%	HORAS CATEDRA MEDIA ORIENTADA	2	Mañana	Educación Artística (B) Música	6to: 05/06/23 08:00	SAN LORENZO 1219 . SAN JOSÉ	40-0	1° 4°	Ma 08:40-09:20,Ma 09:20-10:00	Presentarse en GEM PAD - Llamado Virtual			Licencia larga			Publicado		
