Publicado	Nivel	Departamento	Escuela	Zona	Cargo	Horas	Turno	Materia	Llamado	Domicilio Escuela	Articulo	Curso	Horario	Presentarse en	Prioridad	Condiciones	Observaciones	Movilidad	Impresión llamado	Estado	Motivo de Cancelación	
29/05/23 21:15	CENS	LAVALLE	3439/1 - MANUELA SÁENZ	80%	HORAS CATEDRA C.E.N.S.	2	Vespertino	Lengua Extranjera	2do: 31/05/23 17:00	GARIBALDI Y URQUIZA S/N B° FUERZA NUEVA . COSTA DE ARAUJO	art. 48	2º Ciclo Orientado 3º	Ju 17:40-18:20,Ju 18:20-19:00	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 21:08	CENS	MALARGÜE	3512/1 - S/NOMBRE	80%	HORAS CATEDRA C.E.N.S.	2	Nocturno	Trabajo y Sociedad	5to: 31/05/23 19:15	Dominguez y Maza . MALARGÜE	Art. 40	Multiciclo 3 Bustos Dávila	Ju 19:00-20:20	Presentarse en GEM PAD - Llamado Virtual		Presentar documentación según Circular N°3/2023	Con la misma carga horaria atiende 1ero, 2do y 3ro Multiciclo. Se trabaja con Cartillas	Sin Movilidad		Publicado		
29/05/23 21:02	CENS	CAPITAL	3447 - ROBERTO FONTANARROSA	80%	HORAS CATEDRA COMUNES	3	Nocturno	Sistemas de Información Contable I	6to: 31/05/23 20:00	CRUCERO BELGRANO 33 B° LA FAVORITA . SEXTA SECCION	Lic. Art. 52	2º 1ra	Vi 19:30-20:10,Vi 20:10-20:50,Vi 20:50-21:30	Presentarse en GEM PAD - Llamado Virtual				200/201		Publicado		
29/05/23 20:38	CEBJA	SAN CARLOS	3100/5 - HILDA FILOMENA ARUANI	110%	HORAS CATEDRA ADULTOS	1	Vespertino	Lengua Extranjera - Inglés	10mo: 31/05/23 17:40	El Retiro s/n El Cepillo Tres Esquinas . TRES ESQUINAS	Cargo vacante	Grado Múltiple F	Vi 19:15-20:15	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar copia de carpeta al correo dge3100@mendoza.edu.ar			Publicado		
29/05/23 20:38	CEBJA	SAN CARLOS	3100/5 - HILDA FILOMENA ARUANI	110%	HORAS CATEDRA ADULTOS	1	Vespertino	Educación Física	16vo: 31/05/23 17:40	El Retiro s/n El Cepillo Tres Esquinas . TRES ESQUINAS	40	Grado Múltiple F	Lu 18:15-19:15	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar carpeta al correo dge3100@mendoza.edu.ar	sin movilidad		Publicado		
29/05/23 20:37	CEBJA	SAN CARLOS	3100/5 - HILDA FILOMENA ARUANI	110%	HORAS CATEDRA ADULTOS	1	Vespertino	Educación Física	10mo: 31/05/23 17:30	El Retiro s/n El Cepillo Tres Esquinas . TRES ESQUINAS	Cargo vacante	1° CBNS 2	Vi 18:55-19:35	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar copia de carpeta al correo dge3100@mendoza.edu.ar	sin movilidad		Publicado		
29/05/23 20:30	CENS	LAVALLE	3507/1 - S/NOMBRE. LAGUNAS DEL ROSARIO	110%	HORAS CATEDRA C.E.N.S.	2	Tarde	Proyectos socioeducativos	5to: 30/05/23 20:40	Capilla del Rosario s/n . LAGUNA DEL ROSARIO	Cargo vacante	Multiciclo 2° y 3° año Lagunas	Mi 18:00-19:20	Presentarse en GEM PAD - Llamado Virtual				No hay transporte público para llegar a la escuela		Publicado		
29/05/23 20:25	CENS	MALARGÜE	3512/1 - S/NOMBRE	110%	HORAS CATEDRA C.E.N.S.	2	Mañana	Trabajo y Sociedad	4vo: 02/06/23 19:25	PEREGRINA CANTOS , SALON MUNICIPAL S/N B° BARDAS BLANCAS . RÍO GRANDE	Art.40	Multiciclo 1 Bardas Blancas	Vi 12:40-14:00	Presentarse en GEM PAD - Llamado Virtual		Presentar documentación según Circular N° 3/2023 de JCJyA	Con la misma Carga horaria atiende 1ro, 2do y 3ro de Multiciclo. Se trabaja con Cartillas	Sin Movilidad		Publicado		
29/05/23 20:23	Primario	SAN RAFAEL	1596 - EMILIO CIVIT	110%	MAESTRO ENSEÑANZA COMUN		Mañana	MAESTRA DE ENSEÑANZA COMÚN	1er: 31/05/23 10:00 | 2do: 31/05/23 10:15 | 3er: 31/05/23 10:30	DR. GUILLERMO RAWSON 15.000 B° LA TOMBINA . EL CERRITO	40-0	Grado Múltiple 5to, 6to y 7mo	lunes de 8:15a15:15 martes de8:15 a15:15,miércoles de 8:15 a15:15 jueves de 8:15 a 15.15 viernes de 8:15 a15:15	"Escuela N°1-596 ""Emilio Civit."" Rawson N°15.000 El Cerrito"			El llamado será presencial y con la documentación requerida	Sin movilidad		Publicado		
29/05/23 20:21	Primario	MAIPÚ	1328 - JOSÉ S. ÁLVAREZ	80%	MAESTRO ENSEÑANZA COMUN		Mañana		4to: 31/05/23 10:00	VIDELA ARANDA 6745 . COLONIA IRIGOYEN	40-0	1° A	Lu 08:00-15:00,Ma 08:00-15:00,Mi 08:00-15:00,Ju 08:00-15:00,Vi 08:00-15:00	Presentarse en la escuela. Llamado presencial.		Presentar toda la documentación según la normativa vigente.	HASTA AGOTAR INSTANCIAS	880 881		Publicado		
29/05/23 20:15	CENS	MALARGÜE	3512/1 - S/NOMBRE	110%	HORAS CATEDRA C.E.N.S.	2	Mañana	Construcción del Espacio Regional	4vo: 02/06/23 19:15	PEREGRINA CANTOS , SALON MUNICIPAL S/N B° BARDAS BLANCAS . RÍO GRANDE	Art.40	Multiciclo 1 Bardas Blancas	Vi 11:20-12:40	Presentarse en GEM PAD - Llamado Virtual		Presentar documentación según Circular N° 3/2023 de JCJyA	Con la misma carga horaria atiende también Geografía Turística de 3ero. Se trabaja con Cartillas	Sin Movilidad		Publicado		
29/05/23 20:14	Educación Artística	GUAYMALLÉN	5015 - CAMINO DEL INCA	60%	DIRECTOR PERSONAL UNICO ARTISTICA Y DEP.				1er: 01/06/23 11:00	BOLIVIA 2548 B° GROSSO . GENERAL BELGRANO	Cargo vacante		Lu a Vi 17:30 a 22:30	la sede de Inspección Técnica EAV Sec 1 - San Luis 321 Departamento Capital	Maestros Secretarios titulares de EAV, Maestros titulares de las EAV que cuenten con una antigüedad mínima de 2 (dos) años.	Agotadas las instancias se procederá a seguir el orden establecido en la normativa de referencia Res 0484/DGE/97, Cap. V	Res 0484/DGE/97, Cap. V y su modificatoria, Res 277/DGE/98, Res 029/DGE/2017 y su ampliatoria Res 0172/DGE/2017, Res 1107/DGE/2019 y Res 609/DGE/2022, los aspirantes deberán además presentar Certificación de Asistencia y Antigüedad emitida por la Sec Leg -App 148 y formulario de licencia por Art 61º	Gurpo 500		Publicado		
29/05/23 20:00	CEBJA	SAN CARLOS	3100/3 - HILDA FILOMENA ARUANI	110%	HORAS CATEDRA ADULTOS	1	Tarde	Educación Física	18vo: 31/05/23 17:45	Carril Nacional y Calle Carrasco . TRES ESQUINAS	40	Grado Múltiple D	Mi 17:30-18:30	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar carpeta al correo dge3100@mendoza.edu.ar	sin movilidad		Publicado		
29/05/23 20:00	Secundario Técnico	LAS HERAS	4029 - GRAL. JOSÉ DE SAN MARTÍN	80%	HORAS CATEDRA MEDIA TÉCNICA	8	Alternado	Química Analítica/Química Orgánica II/Microbiología	2do: 31/05/23 12:00	ACONCAGUA Y LAS TORCAZAS s/n B° AEROPARQUE . EL CHALLAO	Cargo vacante	5º		Correo escuela: dge4029@mendoza.edu.ar		Perfil Prof. en Química. ÁREA 11. Tener en cuenta normativa vigente SERVICIO DOMICILIARIO Y HOSPITALARIO. Requisitos excluyentes: Psicofísico de la modalidad (SDyH), certificado manejo TIC, Antigüedad en servicio domiciliario. Certificado de Antecedentes Penales	Cumplimentar con disposiciones para otorgamiento virtual de suplencias, y Comunicado DETyT 003/20 sobre psicofísico con fecha de emisión / DNI enviar ambas caras del mismo/DDJJ/Bono. TODA LA DOCUMENTACIÓN DEBE SER REMITIDA AL CORREO: dge4029@mendoza.edu.ar	305-311-352-625 (escuela sede)		Publicado		
29/05/23 19:59	CEBJA	SAN CARLOS	3100/3 - HILDA FILOMENA ARUANI	110%	HORAS CATEDRA ADULTOS	1	Nocturno	Educación Física	17vo: 31/05/23 17:30	Carril Nacional y Calle Carrasco . TRES ESQUINAS	40	Grado Múltiple E	Mi 19:40-20:40	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos. Armado de carpeta según, Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar copia de carpeta al correo dge3100@mendoza.edu.ar	sin movilidad		Publicado		
29/05/23 19:59	Secundario Técnico	LAS HERAS	4029 - GRAL. JOSÉ DE SAN MARTÍN	80%	HORAS CATEDRA MEDIA TÉCNICA	8	Alternado	Operaciones Unitarias/Tecn. del Control/Industrialización de las materias primas	2do: 31/05/23 11:45	ACONCAGUA Y LAS TORCAZAS s/n B° AEROPARQUE . EL CHALLAO	Cargo vacante	5º		Correo escuela: dge4029@mendoza.edu.ar		Perfil Prof. en Química o Técn. Químico. ÁREA 11. Tener en cuenta normativa vigente SERVICIO DOMICILIARIO Y HOSPITALARIO. Requisitos excluyentes: Psicofísico de la modalidad (SDyH), certificado manejo TIC, Antigüedad en servicio domiciliario. Certificado de Antecedentes Penales	Cumplimentar con disposiciones para otorgamiento virtual de suplencias, y Comunicado DETyT 003/20 sobre psicofísico con fecha de emisión / DNI enviar ambas caras del mismo/DDJJ/Bono. TODA LA DOCUMENTACIÓN DEBE SER REMITIDA AL CORREO: dge4029@mendoza.edu.ar	305-311-352-625 (escuela sede)		Publicado		
29/05/23 19:57	CEBJA	SAN CARLOS	3100/3 - HILDA FILOMENA ARUANI	110%	HORAS CATEDRA ADULTOS	1	Nocturno	Educación Física	16vo: 31/05/23 17:30	Carril Nacional y Calle Carrasco . TRES ESQUINAS	40	1° CBNS 1°4°	Mi 19:00-19:40	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar copia de carpeta al correo dge3100@mendoza.edu.ar	sin movilidad		Publicado		
29/05/23 19:56	Secundario Técnico	LAS HERAS	4029 - GRAL. JOSÉ DE SAN MARTÍN	80%	HORAS CATEDRA MEDIA TÉCNICA	2	Indefinido	Seguridad e Higiene en el Trabajo	3er: 31/05/23 11:00	ACONCAGUA Y LAS TORCAZAS s/n B° AEROPARQUE . EL CHALLAO	Cargo vacante	5°	Mi 11:00-13:00	correo escuela: dge4029@mendoza.edu.ar		Perfil Técn. en Seg. e Higiene. ÁREA 11. Tener en cuenta normativa vigente SERVICIO DOMICILIARIO Y HOSPITALARIO. Requisitos excluyentes: Psicofísico de la modalidad (SDyH), certificado manejo TIC, Antigüedad en servicio domiciliario. Certificado de Antecedentes Penales	Cumplimentar con disposiciones para otorgamiento virtual de suplencias, y Comunicado DETyT 003/20 sobre psicofísico con fecha de emisión / DNI enviar ambas caras del mismo/DDJJ/Bono. TODA LA DOCUMENTACIÓN DEBE SER REMITIDA AL CORREO: dge4029@mendoza.edu.ar	305, 311, 352, 625 (escuela sede)		Publicado		
29/05/23 19:55	Secundario Técnico	LAS HERAS	4029 - GRAL. JOSÉ DE SAN MARTÍN	80%	HORAS CATEDRA MEDIA ORIENTADA	2	Indefinido	Lengua Extranjera: Inglés	3er: 31/05/23 10:30	ACONCAGUA Y LAS TORCAZAS s/n B° AEROPARQUE . EL CHALLAO	Cargo vacante	2°	Vi 09:30-11:30	correo escuela: dge4029@mendoza.edu.ar		ÁREA 2. Tener en cuenta normativa vigente SERVICIO DOMICILIARIO Y HOSPITALARIO. Requisitos excluyentes: Psicofísico de la modalidad (SDyH), certificado manejo TIC, Antigüedad en servicio domiciliario. Certificado de Antecedentes Penales	Cumplimentar con disposiciones para otorgamiento virtual de suplencias, y Comunicado DETyT 003/20 sobre psicofísico con fecha de emisión / DNI enviar ambas caras del mismo/DDJJ/Bono. TODA LA DOCUMENTACIÓN DEBE SER REMITIDA AL CORREO: dge4029@mendoza.edu.ar	305, 311, 352, 625 (escuela sede)		Publicado		
29/05/23 19:55	Secundario Técnico	LAS HERAS	4029 - GRAL. JOSÉ DE SAN MARTÍN	80%	HORAS CATEDRA MEDIA TÉCNICA	6	Indefinido	Lengua y Lit./Comunicación/F.E.C.	3er: 31/05/23 10:00	ACONCAGUA Y LAS TORCAZAS s/n B° AEROPARQUE . EL CHALLAO	Cargo vacante	5°	Vi 14:30-17:30	correo escuela: dge4029@mendoza.edu.ar		Perfil Prof. Lengua o Lic. Comunicación. ÁREA 2. Tener en cuenta normativa vigente SERVICIO DOMICILIARIO Y HOSPITALARIO. Requisitos excluyentes: Psicofísico de la modalidad (SDyH), certificado manejo TIC, Antigüedad en servicio domiciliario. Certificado de Antecedentes Penales	Cumplimentar con disposiciones para otorgamiento virtual de suplencias, y Comunicado DETyT 003/20 sobre psicofísico con fecha de emisión / DNI enviar ambas caras del mismo/DDJJ/Bono. TODA LA DOCUMENTACIÓN DEBE SER REMITIDA AL CORREO: dge4029@mendoza.edu.ar	305, 311, 352, 625 (escuela sede)		Publicado		
29/05/23 19:54	Secundario Técnico	LAS HERAS	4029 - GRAL. JOSÉ DE SAN MARTÍN	80%	HORAS CATEDRA MEDIA ORIENTADA	4	Indefinido	Dibujo Técnico/Taller Pre-profesionalizante	3er: 31/05/23 09:30	ACONCAGUA Y LAS TORCAZAS s/n B° AEROPARQUE . EL CHALLAO	Cargo vacante	2°	Lu 14:30-18:30	correo escuela: dge4029@mendoza.edu.ar		Perfil Ing. Civil/ Arquitecto/ Área 10. Tener en cuenta normativa vigente SERVICIO DOMICILIARIO Y HOSPITALARIO. Requisitos excluyentes: Psicofísico de la modalidad (SDyH), certificado manejo TIC, Antigüedad en servicio domiciliario. Cerificado de Antecedentes Penales	Horario a definir con la familia/ Cumplimentar con disposiciones para otorgamiento virtual de suplencias SDyH, y Comunicado DETyT 003/20 sobre psicofísico con fecha de emisión / DNI enviar ambas caras del mismo/DDJJ/Bono//TODA LA DOCUMENTACIÓN DEBE SER REMITIDA AL CORREO: dge4029@mendoza.edu.ar	305, 311, 352, 625 (escuela sede)		Publicado		
29/05/23 19:54	Secundario Técnico	LAS HERAS	4029 - GRAL. JOSÉ DE SAN MARTÍN	80%	HORAS CATEDRA MEDIA TÉCNICA	12	Alternado	Lengua/Cs Soc./Comunicación/Matem./Cs Nat./Ed. Tecnológ	3er: 31/05/23 09:00	ACONCAGUA Y LAS TORCAZAS s/n B° AEROPARQUE . EL CHALLAO	Cargo vacante	2º	Lu 09:00-11:00,Lu 12:00-14:00,Ju 11:30-13:30,Vi 12:00-14:00	correo escuela: dge4029@mendoza.edu.ar		Perfil Prof. de Enseñanza Primaria/ Prof. en Ciencias de la Educación. Tener en cuenta normativa vigente SERVICIO DOMICILIARIO Y HOSPITALARIO. Requisitos excluyentes: Psicofísico de la modalidad (SDyH), certificado manejo TIC, Antigüedad en servicio domiciliario. Certificado de Antecedentes Penales	Horario a definir con la familia/ Cumplimentar con disposiciones para otorgamiento virtual de suplencias SDyH, y Comunicado DETyT 003/20 sobre psicofísico con fecha de emisión / DNI enviar ambas caras del mismo/ DDJJ/ Bono//TODA LA DOCUMENTACIÓN DEBE SER REMITIDA AL CORREO: dge4029@mendoza.edu.ar	305, 311, 352, 625 (escuela sede)		Publicado		
29/05/23 19:52	CEBJA	SAN CARLOS	3100/2 - HILDA FILOMENA ARUANI	80%	HORAS CATEDRA ADULTOS	1	Nocturno	Educación Física	18vo: 31/05/23 17:25	San Martín y Belgrano . CHILECITO	40	Grado Múltiple C	Ma 20:20-21:20	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar carpeta al correo dge3100@mendoza.edu.ar	sin movilidad		Publicado		
29/05/23 19:44	CEBJA	LUJÁN DE CUYO	3014 - LISANDRO DE LA TORRE	60%	HORAS CATEDRA ADULTOS	5	Vespertino	Lengua	1er: 31/05/23 20:00	JUAN XXIII 467 B° Santa Inés . LUJÁN (CIUDAD)	40-0	1° CBNS 1°	Ma 18:15-18:55,Ma 18:55-19:35,Mi 18:15-18:55,Ju 18:15-18:55,Ju 18:55-19:35	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 19:44	CENS	LUJÁN DE CUYO	3437 - PROF. DANTE BUFANO	40%	HORAS CATEDRA C.E.N.S.	3	Nocturno	Lengua y Literatura	2do: 30/05/23 20:00	20 DE SETIEMBRE 132 . LUJÁN (CIUDAD)	52-0	3º CO B	Ma 19:00-19:40,Ju 19:00-19:40,Vi 19:40-20:20	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 19:39	CEBJA	SAN CARLOS	3100 - HILDA FILOMENA ARUANI	80%	HORAS CATEDRA ADULTOS	1	Nocturno	Educación Física	15vo: 31/05/23 17:20	MAESTRA RENEE S/N . PAREDITAS	40	Grado Múltiple A	Ma 19:00-20:00	Presentarse en GEM PAD - Llamado Virtual		Sin Movilidad. Armado de carpeta según, Circular N°3 y Circular N°5/2023 Junta calificadora de méritos de educación permanente de jóvenes y adultos.	enviar carpeta al correo dge3100@mendoza.edu.ar			Publicado		
29/05/23 19:33	Educación Artística	CAPITAL	5008 - WOLFGANG AMADEO MOZART	10%	HORAS CATEDRA COMUNES	3	Vespertino	Dirección Orquestal	1er: 30/05/23 19:40	SAN LUIS 321 . TERCERA SECCION	Cargo vacante	ensambles instrumentales	Vi 19:00-20:30,Vi 20:30-22:00	domicilio de la escuela. San luis 321 Ciudad	Inscritos en Junta Calificadora de Méritos de Nivel Primario por Lenguaje y Especialidad - Bono 2022	Hasta agotar instancias	El ofrecimiento se realiza de acuerdo a Res. 484/DGE97;029/DGE/2017;172/DGE/2017;1107/DGE/2019 y 609/DGE/2022 Inscritos en Junta Calificadora de Méritos de Nivel Primario por Lenguaje y Especialidad - Bono 2022	linea 200-300-500-900		Publicado		
29/05/23 19:29	Secundario Orientado	LAS HERAS	4088 - MARIO CASALE	10%	HORAS CATEDRA MEDIA ORIENTADA	3	Tarde	Educación Física	1er: 31/05/23 10:00	DR. MORENO 1420 . LAS HERAS	40-0	3° 4	Ma 17:30-18:30,Ju 17:30-18:30	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 19:27	Secundario Orientado	LAS HERAS	4088 - MARIO CASALE	10%	HORAS CATEDRA MEDIA ORIENTADA	3	Tarde	Educación Física	1er: 31/05/23 08:30	DR. MORENO 1420 . LAS HERAS	40-0	2° 4	Ma 16:30-17:30,Ju 16:30-17:30	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 19:22	CENS	GUAYMALLÉN	3461 - EL BERMEJO	80%	HORAS CATEDRA C.E.N.S.	4	Nocturno	Lengua y Literatura	5to: 31/05/23 10:00	AVELLANEDA 3088 . BERMEJO	40-0	2º Ciclo Orientado 1º	Lu 18:45-19:25,Lu 19:25-20:05,Ma 20:05-20:45,Ju 20:05-20:45	Presentarse en GEM PAD - Llamado Virtual						Publicado		
29/05/23 19:15	Secundario Orientado	TUPUNGATO	4079 - DOMINGO F.SARMIENTO	80%	HORAS CATEDRA MEDIA ORIENTADA	7	Tarde	Lengua	5to: 01/06/23 12:00	AV. GUEMES 125 B° CIUDAD . TUPUNGATO	40-0	2° 6ª	Lu 15:55-16:35,Lu 16:45-17:25,Mi 15:15-15:55,Mi 15:55-16:35,Mi 16:45-17:25,Ju 17:25-18:05,Ju 18:05-18:45	Presentarse en GEM PAD - Llamado Virtual		DOCUMENTACIÓN REQUERIDA: DNI, PSICOFÍSICO O CERTIFICADO MÉDICO, DDJJ, BONO DE PUNTAJE 2018, ANALÍTICO COMPLETO O INCOMPLETO, PARA ESTUDIOS INCOMPLETOS ANALÍTICO SECUNDARIO REGISTRADO CERTIFICADO DE ANTECEDENTES PENALES..	TOMA INMEDIATA			Publicado		
